国連による世界地理区分,国・地域名,国内の大まかな地域,言語の日本語名,文字体系,特徴となる文字形,冠詞・前置詞等／短い看板語,見分け方・混同注意,公的地位・看板での扱い,地域の解説,地図番号,地図帳ページ,地域ID,言語ID,経度,緯度,範囲の性質,統計ID,参照資料ID,地域・制度の出典URL,文字の出典URL,大文字形（機械的な対応・例外は解説）
北ヨーロッパ,アイルランド,西岸・北西岸（ゴールウェイなど）,アイルランド語,Latin,á é í ó ú,an / na / agus,母音の右上がりのアクセント。スコットランド・ゲール語のà・èと比較。,公用語が目立つ地区の位置,ゲールタハトはこの中の飛び地状の地区。県全域が言語地域という意味ではない。,9,4,irl-gaeltacht,ga,-9.14197,53.65516,行政区を使った位置の概略,,GAELTACHT; IRISH-SIGN,https://www.gov.ie/en/department-of-rural-and-community-development-and-the-gaeltacht/policies/an-ghaeltacht/; https://www.tii.ie/media/3pumnn4c/tii-scheme-3-english.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/ga.xml,Á É Í Ó Ú
北ヨーロッパ,ジャージー,全域（基本の表示）,英語,Latin,th sh wh,the / of / road,基本26字だけでは他のラテン文字言語と区別しにくい。英語の案内は各国にある。,全国の公用語・主要公共表示,英語の案内と、フランス語・ジャージー語由来の地名。すべての標識が3言語ではない。,10,5,jey-base,en,-2.126,49.22387,国・地域の外形,,JERSEY,https://sthelier.je/wp-content/uploads/sites/14/2023/02/120220-A-Agenda-Minutes.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/en.xml,TH SH WH
北ヨーロッパ,ジャージー,全域（基本の表示）,フランス語,Latin,ç œ é è ê,le / la / de / rue,çは他言語にもある。rue・du・desと合わせる。,歴史的地名・街路名,英語の案内と、フランス語・ジャージー語由来の地名。すべての標識が3言語ではない。,10,5,jey-base,fr,-2.126,49.22387,国・地域の外形,,JERSEY,https://sthelier.je/wp-content/uploads/sites/14/2023/02/120220-A-Agenda-Minutes.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fr.xml,Ç Œ É È Ê
北ヨーロッパ,ジャージー,全域（基本の表示）,ジャージー語（ジェリエー）,Latin,ê î û ç,la / l' / rue,フランス語と似たノルマン語の島嶼方言。道路名と英語の併用が補助。,地域言語の街路名・公共表示,英語の案内と、フランス語・ジャージー語由来の地名。すべての標識が3言語ではない。,10,5,jey-base,nrf_JE,-2.126,49.22387,国・地域の外形,,JERSEY,https://sthelier.je/wp-content/uploads/sites/14/2023/02/120220-A-Agenda-Minutes.pdf,https://www.omniglot.com/writing/jerriais.htm,Ê Î Û Ç
北ヨーロッパ,ガーンジー,全域（基本の表示）,英語,Latin,th sh wh,the / of / road,基本26字だけでは他のラテン文字言語と区別しにくい。英語の案内は各国にある。,全国の公用語・主要公共表示,主表示は英語。フランス語・ガーンジー語の歴史的地名が残る。,11,5,ggy-base,en,-2.54455,49.48518,国・地域の外形,,GUERNSEY,https://www.visitguernsey.com/articles/2020/which-languages-are-spoken-in-guernsey,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/en.xml,TH SH WH
北ヨーロッパ,ガーンジー,全域（基本の表示）,フランス語,Latin,ç œ é è ê,le / la / de / rue,çは他言語にもある。rue・du・desと合わせる。,歴史的地名・街路名,主表示は英語。フランス語・ガーンジー語の歴史的地名が残る。,11,5,ggy-base,fr,-2.54455,49.48518,国・地域の外形,,GUERNSEY,https://www.visitguernsey.com/articles/2020/which-languages-are-spoken-in-guernsey,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fr.xml,Ç Œ É È Ê
北ヨーロッパ,ガーンジー,全域（基本の表示）,ガーンジー語（ガーンジア）,Latin,â ê î ô û,la / lé,ノルマン語の島嶼方言。地名はフランス語に似ており字形単独で島を分けない。,地域言語の地名・文化表示,主表示は英語。フランス語・ガーンジー語の歴史的地名が残る。,11,5,ggy-base,nrf_GG,-2.54455,49.48518,国・地域の外形,,GUERNSEY,https://www.visitguernsey.com/articles/2020/which-languages-are-spoken-in-guernsey,https://www.omniglot.com/writing/guernesiais.htm,Â Ê Î Ô Û
北ヨーロッパ,アイスランド,全域（基本の表示）,アイスランド語,Latin,þ ð æ ö,og / á / í,þとðの組合せが強い手掛かり。þの大文字はÞ。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,12,6,isl-base,is,-18.46095,64.96471,国・地域の外形,,CLDR-T,https://www.unicode.org/cldr/charts/48/supplemental/territory_language_information.html,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/is.xml,Þ Ð Æ Ö
北ヨーロッパ,フェロー諸島,全域（基本の表示）,フェロー語,Latin,ð ø æ,og / í / á,ðとøの併存。アイスランド語は通常øを使わず、デンマーク語はðを使わない。,全国の公用語・主要公共表示,日常の主表示はフェロー語。デンマーク語はデンマーク管轄機関などで使用。,13,6,fro-base,fo,-7.22696,62.09716,国・地域の外形,,FAROE,https://vs.cdn.fo/media/1861/national-handbook-online-version.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fo.xml,Ð Ø Æ
北ヨーロッパ,フェロー諸島,全域（基本の表示）,デンマーク語,Latin,æ ø å,og / af / vej,文字はノルウェー語とほぼ共通。vejなどを補助にする。,デンマーク管轄機関などの行政用語,日常の主表示はフェロー語。デンマーク語はデンマーク管轄機関などで使用。,13,6,fro-base,da,-7.22696,62.09716,国・地域の外形,,FAROE,https://vs.cdn.fo/media/1861/national-handbook-online-version.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/da.xml,Æ Ø Å
北ヨーロッパ,スヴァールバル諸島・ヤンマイエン島,全域（基本の表示）,ノルウェー語（ブークモール）,Latin,æ ø å,og / av / vei,デンマーク語と同じ追加3字。vei/vegの揺れだけで国を決めない。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,14,6,sjm-base,nb,22.68487,79.85796,国・地域の外形,,NOR,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_12_CRP12_item7d.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/no.xml,Æ Ø Å
北ヨーロッパ,スヴァールバル諸島・ヤンマイエン島,西側の鉱山集落（バレンツブルクなど）,ロシア語,Cyrillic,ы э ё ъ,и / в / улица,ы・эはベラルーシ語やロシア内の諸語も共有。ёの点が省かれる例もある。,鉱山集落・施設の地域表示,ノルウェー主権下でもロシア語の集落がある。ピラミデンなどの歴史的表示も候補。島全体の公用語ではない。,15,6,sjm-russian,ru,14.23,78.06,代表地点。周辺全体を意味しない,,SVALBARD,https://en.visitsvalbard.com/dbimgs/THEHISTORYOFSVALBARD.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/ru.xml,Ы Э Ё Ъ
北ヨーロッパ,デンマーク,全域（基本の表示）,デンマーク語,Latin,æ ø å,og / af / vej,文字はノルウェー語とほぼ共通。vejなどを補助にする。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,16,7,dnk-base,da,9.24499,56.26124,国・地域の外形,,CLDR-T,https://www.unicode.org/cldr/charts/48/supplemental/territory_language_information.html,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/da.xml,Æ Ø Å
北ヨーロッパ,ノルウェー,全域（基本の表示）,ノルウェー語（ブークモール）,Latin,æ ø å,og / av / vei,デンマーク語と同じ追加3字。vei/vegの揺れだけで国を決めない。,全国の公用語・主要公共表示,2つのノルウェー語書記標準。地名のveg/veiだけでは境界を断定できない。,17,7,nor-base,nb,12.68562,64.5644,国・地域の外形,,NOR,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_12_CRP12_item7d.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/no.xml,Æ Ø Å
北ヨーロッパ,ノルウェー,全域（基本の表示）,ノルウェー語（ニーノシュク）,Latin,æ ø å,og / ikkje / veg,ブークモールと文字集合を共有。西部の地名・公共表示の補助。,全国の公用語・主要公共表示,2つのノルウェー語書記標準。地名のveg/veiだけでは境界を断定できない。,17,7,nor-base,nn,12.68562,64.5644,国・地域の外形,,NOR,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_12_CRP12_item7d.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/no.xml,Æ Ø Å
北ヨーロッパ,スウェーデン,全域（基本の表示）,スウェーデン語,Latin,å ä ö,och / av / väg,ochがデンマーク語・ノルウェー語のogとの比較に役立つ。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,18,7,swe-base,sv,14.9052,62.18269,国・地域の外形,,SWE,https://assets.publishing.service.gov.uk/media/69b175fc1daa1b70ca2331ae/Sweden_Toponymic_Factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/sv.xml,Å Ä Ö
北ヨーロッパ,デンマーク,南端・ドイツ国境近く,ドイツ語,Latin,ä ö ü ß,der / die / und / Straße,ßが有力。大文字ではSSも使う。スイス・リヒテンシュタインでは通常ss。,少数言語の学校・文化施設表示,ドイツ系施設などの局所的手掛かり。国の道路標識の主言語ではない。,19,7,dnk-german,de,9.42,55.04,代表地点。周辺全体を意味しない,,CHARTER,https://rm.coe.int/november-2022-revised-table-languages-covered-english-/1680a8fef4,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/de.xml,Ä Ö Ü SS
北ヨーロッパ,ノルウェー,西岸・南西部,ノルウェー語（ニーノシュク）,Latin,æ ø å,og / ikkje / veg,ブークモールと文字集合を共有。西部の地名・公共表示の補助。,地域言語の地名・公共表示,ニーノシュク採用自治体が多い地域の概略。内部にはブークモール自治体もある。,20,7,nor-nynorsk-west,nn,8.04882,60.49775,国の外形で切り取った概略範囲,,NOR,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_12_CRP12_item7d.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/no.xml,Æ Ø Å
北ヨーロッパ,フィンランド,全域（基本の表示）,フィンランド語,Latin,ä ö aa ii kk,ja / tie / katu,二重母音・二重子音、tie/katu。åはアルファベットにあるが借用語・スウェーデン系名中心。,全国の公用語・主要公共表示,国の公用語は2言語。スウェーデン語の地域的集中は沿岸の拡大図を参照。,21,8,fin-base,fi,27.42223,64.93895,国・地域の外形,fin-fi,FIN,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/Toponymic_guidelines_2025.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/fi.xml,Ä Ö AA II KK
北ヨーロッパ,フィンランド,全域（基本の表示）,スウェーデン語,Latin,å ä ö,och / av / väg,ochがデンマーク語・ノルウェー語のogとの比較に役立つ。,全国の公用語・主要公共表示,国の公用語は2言語。スウェーデン語の地域的集中は沿岸の拡大図を参照。,21,8,fin-base,sv,27.42223,64.93895,国・地域の外形,fin-sv,FIN,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/Toponymic_guidelines_2025.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/sv.xml,Å Ä Ö
北ヨーロッパ,オーランド諸島,全域（基本の表示）,スウェーデン語,Latin,å ä ö,och / av / väg,ochがデンマーク語・ノルウェー語のogとの比較に役立つ。,全国の公用語・主要公共表示,観光地の英語訳・ラテン文字への転写は他国でも現れる。固有の文字と短い語を組み合わせる。,22,8,ala-base,sv,19.93877,60.22842,国・地域の外形,,FIN,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/Toponymic_guidelines_2025.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/sv.xml,Å Ä Ö
北ヨーロッパ,フィンランド,西岸（ヴァーサ周辺）,スウェーデン語,Latin,å ä ö,och / av / väg,ochがデンマーク語・ノルウェー語のogとの比較に役立つ。,地域言語の地名・公共表示,海岸寄りのスウェーデン語・二言語自治体。内陸全域の使用を意味しない。,23,8,fin-swedish-west,sv,22.08833,63.06093,行政区を使った位置の概略,fin-sv,FIN,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/Toponymic_guidelines_2025.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/sv.xml,Å Ä Ö
北ヨーロッパ,フィンランド,南岸・南西の島々,スウェーデン語,Latin,å ä ö,och / av / väg,ochがデンマーク語・ノルウェー語のogとの比較に役立つ。,地域言語の地名・公共表示,ヘルシンキ周辺を含む沿岸の二言語表示。,24,8,fin-swedish-south,sv,23.71764,60.15272,国の外形で切り取った概略範囲,fin-sv,FIN,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/Toponymic_guidelines_2025.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/sv.xml,Å Ä Ö
北ヨーロッパ,ノルウェー,北端・北東部（フィンマルク）,北サーミ語,Latin,č đ ŋ š ŧ ž,ja / geaidnu,追加子音が多い。ノルウェー・スウェーデン・フィンランドにまたがる。,地域言語の地名・公共表示,法定の多言語地名・標識。塗色内の自治体や道路で表示の有無が異なる。,25,9,nor-sami-north,se,24.18144,69.84006,国の外形で切り取った概略範囲,,NOR,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_12_CRP12_item7d.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/se.xml,Č Đ Ŋ Š Ŧ Ž
北ヨーロッパ,ノルウェー,北部（ボードーの北東）,ルレ・サーミ語,Latin,á å ń,ja / várre,北サーミ語とは字形を共有する。国境を越える言語。,地域言語の地名・公共表示,法定の多言語地名・標識。塗色内の自治体や道路で表示の有無が異なる。,26,9,nor-sami-lule,smj,16.1,68.05,代表地点。周辺全体を意味しない,,NOR,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_12_CRP12_item7d.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/smj.xml,Á Å Ń
北ヨーロッパ,ノルウェー,中部（トロンハイムの北東・山地）,南サーミ語,Latin,å ä ö,jïh / vaerie,jïhやvaerieが補助。スウェーデン語と似た母音だけでは分けられない。,地域言語の地名・公共表示,法定の多言語地名・標識。塗色内の自治体や道路で表示の有無が異なる。,27,9,nor-sami-south,sma,11.814,63.74679,国の外形で切り取った概略範囲,,NOR,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_12_CRP12_item7d.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/sma.xml,Å Ä Ö
北ヨーロッパ,ノルウェー,北東部（フィンランド国境近く）,クヴェン語,Latin,ä ö đ aa,ja / joki / järvi,フィンランド語に非常に近い。北ノルウェーでの併記が位置の手掛かり。,地域言語の地名・公共表示,法定の多言語地名・標識。塗色内の自治体や道路で表示の有無が異なる。,28,9,nor-kven,fkv,25.48308,70.0041,国の外形で切り取った概略範囲,,NOR,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_12_CRP12_item7d.pdf,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/GEGN.2_2025_12_CRP12_item7d.pdf,Ä Ö Đ AA
北ヨーロッパ,スウェーデン,北端（キルナ周辺）,北サーミ語,Latin,č đ ŋ š ŧ ž,ja / geaidnu,追加子音が多い。ノルウェー・スウェーデン・フィンランドにまたがる。,地域言語の地名・公共表示,伝統的な地名とスウェーデン語の併記が手掛かり。実際の表示地点は範囲内の一部。,29,9,swe-sami-north,se,20.0,67.33403,国の外形で切り取った概略範囲,,SWE,https://assets.publishing.service.gov.uk/media/69b175fc1daa1b70ca2331ae/Sweden_Toponymic_Factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/se.xml,Č Đ Ŋ Š Ŧ Ž
北ヨーロッパ,スウェーデン,北部（ヨックモック周辺）,ルレ・サーミ語,Latin,á å ń,ja / várre,北サーミ語とは字形を共有する。国境を越える言語。,地域言語の地名・公共表示,伝統的な地名とスウェーデン語の併記が手掛かり。実際の表示地点は範囲内の一部。,30,9,swe-sami-lule,smj,19.84,66.61,代表地点。周辺全体を意味しない,,SWE,https://assets.publishing.service.gov.uk/media/69b175fc1daa1b70ca2331ae/Sweden_Toponymic_Factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/smj.xml,Á Å Ń
北ヨーロッパ,スウェーデン,中北部の西側山地,南サーミ語,Latin,å ä ö,jïh / vaerie,jïhやvaerieが補助。スウェーデン語と似た母音だけでは分けられない。,地域言語の地名・公共表示,伝統的な地名とスウェーデン語の併記が手掛かり。実際の表示地点は範囲内の一部。,31,10,swe-sami-south,sma,14.05495,63.38467,国の外形で切り取った概略範囲,,SWE,https://assets.publishing.service.gov.uk/media/69b175fc1daa1b70ca2331ae/Sweden_Toponymic_Factfile.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/sma.xml,Å Ä Ö
北ヨーロッパ,スウェーデン,北東端・フィンランド国境近く,メアンキエリ,Latin,ä ö aa,ja / Tornionlaakso,フィンランド語と字形を共有。スウェーデン北東部の併記で絞る。,地域言語の地名・公共表示,伝統的な地名とスウェーデン語の併記が手掛かり。実際の表示地点は範囲内の一部。,32,10,swe-meankieli,fit,22.93751,66.93213,国の外形で切り取った概略範囲,,SWE,https://assets.publishing.service.gov.uk/media/69b175fc1daa1b70ca2331ae/Sweden_Toponymic_Factfile.pdf,https://assets.publishing.service.gov.uk/media/69b175fc1daa1b70ca2331ae/Sweden_Toponymic_Factfile.pdf,Ä Ö AA
北ヨーロッパ,フィンランド,北端（ウツヨキなど）,北サーミ語,Latin,č đ ŋ š ŧ ž,ja / geaidnu,追加子音が多い。ノルウェー・スウェーデン・フィンランドにまたがる。,地域言語の地名・公共表示,サーミ語地域内でも言語ごとに使用地が異なる。,33,10,fin-sami-north,se,27.11873,69.18627,国の外形で切り取った概略範囲,fin-se,FIN,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/Toponymic_guidelines_2025.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/se.xml,Č Đ Ŋ Š Ŧ Ž
北ヨーロッパ,フィンランド,北部イナリ湖周辺,イナリ・サーミ語,Latin,â č đ ŋ,já / Aanaar,âと追加子音の組合せ。イナリ周辺の多言語表示を確認。,地域言語の地名・公共表示,サーミ語地域内でも言語ごとに使用地が異なる。,34,10,fin-sami-inari,smn,27.02,68.91,代表地点。周辺全体を意味しない,fin-se,FIN,https://unstats.un.org/unsd/ungegn/sessions/4th_session_2025/documents/Toponymic_guidelines_2025.pdf,https://raw.githubusercontent.com/unicode-org/cldr/fc1fd058cc6f50544a450a3b15a4bba0e0c1e653/common/main/smn.xml,Â Č Đ Ŋ
