id,iso3,area_ja,language_id,year,indicator_ja,value_percent,denominator_ja,source_id,note_ja
mne-sr,MNE,全国,sr,2023,母語,43.18,国勢調査人口,MNE-STAT,
mne-cnr,MNE,全国,cnr,2023,母語,34.52,国勢調査人口,MNE-STAT,
mne-bs,MNE,全国,bs,2023,母語,6.97,国勢調査人口,MNE-STAT,
mne-sq,MNE,全国,sq,2023,母語,5.25,国勢調査人口,MNE-STAT,
mne-ru,MNE,全国,ru,2023,母語,2.36,国勢調査人口,MNE-STAT,
mkd-mk,MKD,全国,mk,2021,母語,61.38,総居住人口（行政資料による不詳者を含む）,MKD-STAT,
mkd-sq,MKD,全国,sq,2021,母語,24.34,総居住人口（行政資料による不詳者を含む）,MKD-STAT,
mkd-tr,MKD,全国,tr,2021,母語,3.41,総居住人口（行政資料による不詳者を含む）,MKD-STAT,
mkd-rom,MKD,全国,rom,2021,母語,1.73,総居住人口（行政資料による不詳者を含む）,MKD-STAT,
mkd-sr,MKD,全国,sr,2021,母語,0.61,総居住人口（行政資料による不詳者を含む）,MKD-STAT,
mkd-bs,MKD,全国,bs,2021,母語,0.85,総居住人口（行政資料による不詳者を含む）,MKD-STAT,
mda-ru,MDA,国勢調査対象地域,ru,2024,母語,11.6,国勢調査回答人口,MDA-STAT,沿ドニエストルなど調査非実施地域は対象外。
mda-gag,MDA,国勢調査対象地域,gag,2024,母語,3.6,国勢調査回答人口,MDA-STAT,沿ドニエストルなど調査非実施地域は対象外。
mda-uk,MDA,国勢調査対象地域,uk,2024,母語,3,国勢調査回答人口,MDA-STAT,沿ドニエストルなど調査非実施地域は対象外。
mda-bg,MDA,国勢調査対象地域,bg,2024,母語,1.2,国勢調査回答人口,MDA-STAT,沿ドニエストルなど調査非実施地域は対象外。
mda-gag-reg,MDA,南部ガガウズ自治地域,gag,2024,母語（暫定集計）,77.7,自治地域の国勢調査回答人口,MDA-REG,全国最終値と地域暫定値を混同しない。
