iso3,country_en,selected_regions,national_percent,status
BLM,Saint Barthélemy,0,,未掲載（低頻度の証明ではない）
KNA,Saint Kitts and Nevis,0,,未掲載（低頻度の証明ではない）
LCA,Saint Lucia,0,<0.1,未掲載（低頻度の証明ではない）
MAF,Saint Martin (French Part),0,,未掲載（低頻度の証明ではない）
VCT,Saint Vincent and the Grenadines,0,0.1,未掲載（低頻度の証明ではない）
SXM,Sint Maarten (Dutch part),0,,未掲載（低頻度の証明ではない）
TTO,Trinidad and Tobago,1,5.5,掲載
TCA,Turks and Caicos Islands,0,,未掲載（低頻度の証明ではない）
VIR,United States Virgin Islands,0,0.1,未掲載（低頻度の証明ではない）
BLZ,Belize,0,0.2,未掲載（低頻度の証明ではない）
CRI,Costa Rica,0,<0.1,未掲載（低頻度の証明ではない）
SLV,El Salvador,0,<0.1,未掲載（低頻度の証明ではない）
GTM,Guatemala,0,<0.1,未掲載（低頻度の証明ではない）
HND,Honduras,0,<0.1,未掲載（低頻度の証明ではない）
MEX,Mexico,0,<0.1,未掲載（低頻度の証明ではない）
NIC,Nicaragua,0,<0.1,未掲載（低頻度の証明ではない）
PAN,Panama,0,<0.1,未掲載（低頻度の証明ではない）
ARG,Argentina,0,0.9,未掲載（低頻度の証明ではない）
BOL,Bolivia (Plurinational State of),0,<0.1,未掲載（低頻度の証明ではない）
BVT,Bouvet Island,0,,未掲載（低頻度の証明ではない）
BRA,Brazil,0,<0.1,未掲載（低頻度の証明ではない）
CHL,Chile,0,<0.1,未掲載（低頻度の証明ではない）
COL,Colombia,0,<0.1,未掲載（低頻度の証明ではない）
ECU,Ecuador,0,<0.1,未掲載（低頻度の証明ではない）
FLK,Falkland Islands (Malvinas),0,,未掲載（低頻度の証明ではない）
GUF,French Guiana,0,0.9,未掲載（低頻度の証明ではない）
GUY,Guyana,1,6.5,掲載
PRY,Paraguay,0,<0.1,未掲載（低頻度の証明ではない）
PER,Peru,0,<0.1,未掲載（低頻度の証明ではない）
SGS,South Georgia and the South Sandwich Islands,0,,未掲載（低頻度の証明ではない）
SUR,Suriname,1,13.1,掲載
URY,Uruguay,0,<0.1,未掲載（低頻度の証明ではない）
VEN,Venezuela (Bolivarian Republic of),0,<0.1,未掲載（低頻度の証明ではない）
BMU,Bermuda,0,,未掲載（低頻度の証明ではない）
CAN,Canada,2,4.9,掲載
GRL,Greenland,0,,未掲載（低頻度の証明ではない）
SPM,Saint Pierre and Miquelon,0,,未掲載（低頻度の証明ではない）
USA,United States of America,3,1.2,掲載
ATA,Antarctica,0,,未掲載（低頻度の証明ではない）
KAZ,Kazakhstan,0,77.9,未掲載（低頻度の証明ではない）
KGZ,Kyrgyzstan,1,91.7,掲載
TJK,Tajikistan,0,98.9,未掲載（低頻度の証明ではない）
TKM,Turkmenistan,0,94.3,未掲載（低頻度の証明ではない）
UZB,Uzbekistan,1,95.6,掲載
CHN,China,0,1.8,未掲載（低頻度の証明ではない）
HKG,"China, Hong Kong Special Administrative Region",0,0.3,未掲載（低頻度の証明ではない）
MAC,"China, Macao Special Administrative Region",0,0.5,未掲載（低頻度の証明ではない）
PRK,Democratic People's Republic of Korea,0,<0.1,未掲載（低頻度の証明ではない）
JPN,Japan,0,0.2,未掲載（低頻度の証明ではない）
MNG,Mongolia,0,3.5,未掲載（低頻度の証明ではない）
KOR,Republic of Korea,0,0.3,未掲載（低頻度の証明ではない）
BRN,Brunei Darussalam,1,82.2,掲載
KHM,Cambodia,1,2.0,掲載
IDN,Indonesia,9,87.0,掲載
LAO,Lao People's Democratic Republic,0,<0.1,未掲載（低頻度の証明ではない）
MYS,Malaysia,4,64.1,掲載
MMR,Myanmar,2,3.3,掲載
PHL,Philippines,2,6.5,掲載
SGP,Singapore,1,16.1,掲載
THA,Thailand,3,4.5,掲載
TLS,Timor-Leste,0,0.3,未掲載（低頻度の証明ではない）
VNM,Viet Nam,0,<0.1,未掲載（低頻度の証明ではない）
AFG,Afghanistan,1,99.9,掲載
BGD,Bangladesh,1,91.1,掲載
BTN,Bhutan,0,0.2,未掲載（低頻度の証明ではない）
IND,India,13,15.2,掲載
IRN,Iran (Islamic Republic of),1,99.8,掲載
MDV,Maldives,1,94.1,掲載
NPL,Nepal,1,5.1,掲載
PAK,Pakistan,1,96.5,掲載
LKA,Sri Lanka,4,10.2,掲載
ARM,Armenia,0,0.3,未掲載（低頻度の証明ではない）
AZE,Azerbaijan,1,94.7,掲載
BHR,Bahrain,1,74.0,掲載
CYP,Cyprus,0,24.4,未掲載（低頻度の証明ではない）
GEO,Georgia,1,10.5,掲載
IRQ,Iraq,1,99.5,掲載
ISR,Israel,2,14.7,掲載
JOR,Jordan,1,97.1,掲載
KWT,Kuwait,1,80.2,掲載
LBN,Lebanon,2,67.8,掲載
OMN,Oman,1,81.8,掲載
QAT,Qatar,1,75.9,掲載
SAU,Saudi Arabia,1,92.7,掲載
PSE,State of Palestine,1,99.0,掲載
SYR,Syrian Arab Republic,1,94.2,掲載
TUR,Türkiye,2,97.1,掲載
ARE,United Arab Emirates,1,72.9,掲載
YEM,Yemen,1,99.9,掲載
BLR,Belarus,0,0.3,未掲載（低頻度の証明ではない）
BGR,Bulgaria,1,10.3,掲載
CZE,Czechia,0,0.3,未掲載（低頻度の証明ではない）
HUN,Hungary,0,0.1,未掲載（低頻度の証明ではない）
POL,Poland,0,<0.1,未掲載（低頻度の証明ではない）
MDA,Republic of Moldova,0,0.2,未掲載（低頻度の証明ではない）
ROU,Romania,0,0.4,未掲載（低頻度の証明ではない）
RUS,Russian Federation,2,8.2,掲載
SVK,Slovakia,0,<0.1,未掲載（低頻度の証明ではない）
UKR,Ukraine,0,0.6,未掲載（低頻度の証明ではない）
ALA,Åland Islands,0,,未掲載（低頻度の証明ではない）
DNK,Denmark,1,4.2,掲載
EST,Estonia,0,0.6,未掲載（低頻度の証明ではない）
FRO,Faroe Islands,0,,未掲載（低頻度の証明ではない）
FIN,Finland,0,1.6,未掲載（低頻度の証明ではない）
GGY,Guernsey,0,,未掲載（低頻度の証明ではない）
ISL,Iceland,0,1.2,未掲載（低頻度の証明ではない）
IRL,Ireland,0,1.7,未掲載（低頻度の証明ではない）
IMN,Isle of Man,0,,未掲載（低頻度の証明ではない）
JEY,Jersey,0,,未掲載（低頻度の証明ではない）
LVA,Latvia,0,0.7,未掲載（低頻度の証明ではない）
LTU,Lithuania,0,<0.1,未掲載（低頻度の証明ではない）
NOR,Norway,0,4.1,未掲載（低頻度の証明ではない）
SJM,Svalbard and Jan Mayen Islands,0,,未掲載（低頻度の証明ではない）
SWE,Sweden,2,8.1,掲載
GBR,United Kingdom of Great Britain and Northern Ireland,4,6.4,掲載
ALB,Albania,1,74.5,掲載
AND,Andorra,0,,未掲載（低頻度の証明ではない）
BIH,Bosnia and Herzegovina,1,53.6,掲載
HRV,Croatia,0,1.4,未掲載（低頻度の証明ではない）
GIB,Gibraltar,0,,未掲載（低頻度の証明ではない）
GRC,Greece,1,5.1,掲載
VAT,Holy See,0,,未掲載（低頻度の証明ではない）
ITA,Italy,1,4.4,掲載
MLT,Malta,0,3.6,未掲載（低頻度の証明ではない）
MNE,Montenegro,1,21.3,掲載
MKD,North Macedonia,1,34.7,掲載
PRT,Portugal,0,0.4,未掲載（低頻度の証明ではない）
SMR,San Marino,0,,未掲載（低頻度の証明ではない）
SRB,Serbia,1,4.4,掲載
SVN,Slovenia,0,1.6,未掲載（低頻度の証明ではない）
ESP,Spain,3,3.6,掲載
AUT,Austria,1,8.3,掲載
BEL,Belgium,1,6.8,掲載
FRA,France,2,9.1,掲載
DEU,Germany,2,6.5,掲載
LIE,Liechtenstein,0,,未掲載（低頻度の証明ではない）
LUX,Luxembourg,0,1.8,未掲載（低頻度の証明ではない）
MCO,Monaco,0,,未掲載（低頻度の証明ではない）
NLD,Netherlands (Kingdom of the),2,5.5,掲載
CHE,Switzerland,0,6.1,未掲載（低頻度の証明ではない）
AUS,Australia,2,3.5,掲載
CXR,Christmas Island,0,,未掲載（低頻度の証明ではない）
CCK,Cocos (Keeling) Islands,0,,未掲載（低頻度の証明ではない）
HMD,Heard Island and McDonald Islands,0,,未掲載（低頻度の証明ではない）
NZL,New Zealand,1,1.4,掲載
NFK,Norfolk Island,0,,未掲載（低頻度の証明ではない）
FJI,Fiji,1,5.8,掲載
NCL,New Caledonia,0,2.8,未掲載（低頻度の証明ではない）
PNG,Papua New Guinea,0,<0.1,未掲載（低頻度の証明ではない）
SLB,Solomon Islands,0,0.3,未掲載（低頻度の証明ではない）
VUT,Vanuatu,0,<0.1,未掲載（低頻度の証明ではない）
GUM,Guam,0,<0.1,未掲載（低頻度の証明ではない）
KIR,Kiribati,0,<0.1,未掲載（低頻度の証明ではない）
MHL,Marshall Islands,0,,未掲載（低頻度の証明ではない）
FSM,Micronesia (Federated States of),0,<0.1,未掲載（低頻度の証明ではない）
NRU,Naoero,0,,未掲載（低頻度の証明ではない）
MNP,Northern Mariana Islands,0,,未掲載（低頻度の証明ではない）
PLW,Palau,0,,未掲載（低頻度の証明ではない）
UMI,United States Minor Outlying Islands,0,,未掲載（低頻度の証明ではない）
ASM,American Samoa,0,,未掲載（低頻度の証明ではない）
COK,Cook Islands,0,,未掲載（低頻度の証明ではない）
PYF,French Polynesia,0,0.3,未掲載（低頻度の証明ではない）
NIU,Niue,0,,未掲載（低頻度の証明ではない）
PCN,Pitcairn,0,,未掲載（低頻度の証明ではない）
WSM,Samoa,0,<0.1,未掲載（低頻度の証明ではない）
TKL,Tokelau,0,,未掲載（低頻度の証明ではない）
TON,Tonga,0,<0.1,未掲載（低頻度の証明ではない）
TUV,Tuvalu,0,,未掲載（低頻度の証明ではない）
WLF,Wallis and Futuna Islands,0,,未掲載（低頻度の証明ではない）
