iso3,survey_area,year,metric,percent,denominator_ja,source_id,note_ja
IND,Northeast,2019–2020,head_cover_practice,85,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,Northeast,2019–2020,hijab,7,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,Northeast,2019–2020,niqab,3,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IND,Northeast,2019–2020,burqa,55,ムスリム女性,PEW_IND_DRESS,Pew独自地域区分。服装用語を調査時に定義していない。Centralは標本不足。
IDN,national,2022,hijab_usually,61.9,ムスリム女性,ISEAS2022,Figure 22。2017年と選択肢が異なる。
IDN,national,2022,hijab_situational,34.9,ムスリム女性,ISEAS2022,Figure 22。2017年と選択肢が異なる。
IDN,national,2022,hijab_never,3.3,ムスリム女性,ISEAS2022,Figure 22。2017年と選択肢が異なる。
USA,national,2017,head_cover_always,38,ムスリム女性,PEW_US2017,
USA,national,2017,head_cover_most,5,ムスリム女性,PEW_US2017,
CAN,national,2016,hijab,48,ムスリム女性,ENVIRONICS2016,
CAN,national,2016,any_head_cover,53,ムスリム女性,ENVIRONICS2016,
FRA,national,2019–2020,veil,26,ムスリム女性18–49歳（TeO2対象者）,INSEE2020,
DEU,survey_origins,2019,no_headscarf,70,対象出身国に移民背景のあるムスリム女性・少女,BAMF2020,概数。分母・年齢が他調査と異なる。
